"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","M"
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,1,4,1,9,1,"false",744,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,8,3,1,1,1,"true",583,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,2,3,1,4,1,"false",706,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,2,3,1,2,1,"false",681,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,6,1,1,8,1,"false",1412,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,1,4,1,2,1,"false",588,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,5,0,1,7,1,"false",2109,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,2,3,1,7,1,"false",586,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,9,4,1,7,1,"false",602,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,7,2,1,7,1,"false",712,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,1,4,1,6,1,"false",623,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,3,2,1,9,1,"false",599,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,1,4,1,4,1,"false",874,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,2,3,1,7,1,"false",408,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,3,2,1,7,1,"false",736,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,3,2,1,7,1,"false",765,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,8,3,1,7,1,"false",598,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,1,4,1,9,1,"false",542,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,8,3,1,6,1,"false",509,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,9,4,1,9,1,"false",676,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,9,4,1,4,1,"false",473,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,7,2,1,2,1,"false",1222,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,1,4,1,3,1,"false",499,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,8,3,1,6,1,"false",606,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,3,2,1,2,1,"false",517,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,8,3,1,2,1,"false",461,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,5,0,1,2,1,"false",523,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,3,2,1,3,1,"false",434,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,6,1,1,9,1,"false",502,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,1,4,1,2,1,"false",523,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,3,2,1,1,1,"true",678,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,9,4,1,4,1,"false",519,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,8,3,1,2,1,"false",542,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,6,1,1,2,1,"false",549,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,2,3,1,1,1,"true",505,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,4,1,1,8,1,"false",483,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,6,1,1,10,1,"false",511,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,3,2,1,3,1,"false",564,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,1,4,1,9,1,"false",532,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,8,3,1,3,1,"false",569,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,5,0,1,5,1,"false",620,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,2,3,1,7,1,"false",501,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,7,2,1,7,1,"false",480,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,4,1,1,6,1,"false",487,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,4,1,1,5,1,"false",474,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,6,1,1,3,1,"false",622,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,6,1,1,4,1,"false",511,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,8,3,1,7,1,"false",819,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,9,4,1,5,1,"false",514,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,6,1,1,5,1,"false",587,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,5,0,1,3,1,"false",475,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,1,4,1,9,1,"false",501,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,3,2,1,1,1,"true",513,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,3,2,1,5,1,"false",783,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,5,0,1,2,1,"false",1122,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,3,2,1,1,1,"true",579,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,2,3,1,7,1,"false",479,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,2,3,1,1,1,"true",862,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,7,2,1,9,1,"false",458,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,6,1,1,10,1,"false",2027,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,3,2,1,5,1,"false",460,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,9,4,1,10,1,"false",542,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,6,1,1,1,1,"true",1085,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,5,0,1,8,1,"false",1573,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,5,0,1,8,1,"false",863,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,3,2,1,1,1,"true",456,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,3,2,1,8,1,"false",542,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,5,0,1,2,1,"false",559,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,2,3,1,8,1,"false",642,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,4,1,1,10,1,"false",913,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,7,2,1,5,1,"false",857,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,3,2,1,4,1,"false",941,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,7,2,1,3,1,"false",1154,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,4,1,1,3,1,"false",550,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,9,4,1,8,1,"false",552,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,1,4,1,8,1,"false",508,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,6,1,1,7,1,"false",1829,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,5,0,1,8,1,"false",681,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,9,4,1,5,1,"false",642,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,6,1,1,4,1,"false",1588,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,4,1,1,2,1,"false",754,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,6,1,1,7,1,"false",582,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,4,1,1,1,1,"true",832,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,8,3,1,3,1,"false",817,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,7,2,1,9,1,"false",550,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,6,1,1,4,1,"false",526,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,5,0,1,4,1,"false",2395,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,9,4,1,3,1,"false",598,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,1,4,1,7,1,"false",520,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,8,3,1,8,1,"false",600,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,2,3,1,4,1,"false",470,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,2,3,1,10,1,"false",429,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,3,2,1,8,1,"false",1000,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,4,1,1,5,1,"false",503,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,4,1,1,1,1,"true",1088,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,9,4,1,2,1,"false",600,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,9,4,1,9,1,"false",475,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,1,4,1,7,1,"false",519,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,7,2,1,6,1,"false",956,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,4,1,1,9,1,"false",518,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,3,2,1,5,1,"false",547,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,2,3,1,7,1,"false",493,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,5,0,1,1,1,"true",481,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,5,0,1,8,1,"false",1328,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,9,4,1,1,1,"true",627,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,2,3,1,10,1,"false",972,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,2,3,1,1,1,"true",662,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,8,3,1,4,1,"false",733,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,6,1,1,4,1,"false",732,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,4,1,1,2,1,"false",689,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,5,0,1,6,1,"false",1502,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,9,4,1,8,1,"false",614,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,8,3,1,8,1,"false",787,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,2,3,1,5,1,"false",611,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,5,0,1,9,1,"false",938,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,6,1,1,7,1,"false",770,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,1,4,1,10,1,"false",846,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,1,4,1,3,1,"false",616,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,4,1,1,7,1,"false",688,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,3,2,1,5,1,"false",525,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,2,3,1,8,1,"false",701,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,4,1,1,1,1,"true",575,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,6,1,1,5,1,"false",554,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,8,3,1,2,1,"false",502,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,2,3,1,8,1,"false",622,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,4,1,1,4,1,"false",732,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,3,2,1,5,1,"false",606,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,7,2,1,4,1,"false",832,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,4,1,1,7,1,"false",723,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,7,2,1,6,1,"false",652,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,6,1,1,9,1,"false",658,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,4,1,1,3,1,"false",1286,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,5,0,1,8,1,"false",866,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,9,4,1,8,1,"false",615,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,4,1,1,4,1,"false",501,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,1,4,1,4,1,"false",532,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,7,2,1,3,1,"false",760,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,5,0,1,10,1,"false",753,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,9,4,1,8,1,"false",547,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,7,2,1,9,1,"false",564,
