"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Chain_Length","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","N"
"undefined","undefined","undefined","undefined",6,2,4,3,1,9,1,"false",908,
"undefined","undefined","undefined","undefined",4,2,4,3,1,5,1,"false",700,
"undefined","undefined","undefined","undefined",6,6,4,1,1,3,1,"false",920,
"undefined","undefined","undefined","undefined",8,9,4,4,1,9,1,"false",598,
"undefined","undefined","undefined","undefined",6,8,4,3,1,6,1,"false",690,
"undefined","undefined","undefined","undefined",5,7,4,2,1,3,1,"false",816,
"undefined","undefined","undefined","undefined",6,3,4,2,1,1,1,"true",775,
"undefined","undefined","undefined","undefined",4,4,4,1,1,9,1,"false",925,
"undefined","undefined","undefined","undefined",5,8,4,3,1,9,1,"false",670,
"undefined","undefined","undefined","undefined",6,6,4,1,1,1,1,"true",1071,
"undefined","undefined","undefined","undefined",2,8,4,3,1,10,1,"false",619,
"undefined","undefined","undefined","undefined",8,4,4,1,1,9,1,"false",725,
"undefined","undefined","undefined","undefined",8,7,4,2,1,8,1,"false",799,
"undefined","undefined","undefined","undefined",8,9,4,4,1,2,1,"false",594,
"undefined","undefined","undefined","undefined",4,1,4,4,1,4,1,"false",613,
"undefined","undefined","undefined","undefined",6,8,4,3,1,10,1,"false",843,
"undefined","undefined","undefined","undefined",2,1,4,4,1,10,1,"false",660,
"undefined","undefined","undefined","undefined",2,4,4,1,1,6,1,"false",922,
"undefined","undefined","undefined","undefined",6,3,4,2,1,8,1,"false",801,
"undefined","undefined","undefined","undefined",2,8,4,3,1,7,1,"false",757,
"undefined","undefined","undefined","undefined",5,3,4,2,1,5,1,"false",812,
"undefined","undefined","undefined","undefined",4,7,4,2,1,2,1,"false",764,
"undefined","undefined","undefined","undefined",5,3,4,2,1,7,1,"false",781,
"undefined","undefined","undefined","undefined",6,7,4,2,1,2,1,"false",708,
"undefined","undefined","undefined","undefined",4,8,4,3,1,7,1,"false",639,
"undefined","undefined","undefined","undefined",5,5,4,0,1,8,1,"false",786,
"undefined","undefined","undefined","undefined",8,2,4,3,1,4,1,"false",677,
"undefined","undefined","undefined","undefined",5,9,4,4,1,4,1,"false",568,
"undefined","undefined","undefined","undefined",5,2,4,3,1,1,1,"true",745,
"undefined","undefined","undefined","undefined",4,3,4,2,1,5,1,"false",888,
"undefined","undefined","undefined","undefined",2,7,4,2,1,4,1,"false",918,
"undefined","undefined","undefined","undefined",4,6,4,1,1,5,1,"false",845,
"undefined","undefined","undefined","undefined",4,8,4,3,1,8,1,"false",651,
"undefined","undefined","undefined","undefined",2,8,4,3,1,4,1,"false",708,
"undefined","undefined","undefined","undefined",4,3,4,2,1,6,1,"false",1013,
"undefined","undefined","undefined","undefined",4,1,4,4,1,6,1,"false",638,
"undefined","undefined","undefined","undefined",6,1,4,4,1,9,1,"false",627,
"undefined","undefined","undefined","undefined",2,9,4,4,1,4,1,"false",622,
"undefined","undefined","undefined","undefined",6,3,4,2,1,5,1,"false",837,
"undefined","undefined","undefined","undefined",4,8,4,3,1,2,1,"false",590,
"undefined","undefined","undefined","undefined",6,2,4,3,1,7,1,"false",727,
"undefined","undefined","undefined","undefined",8,7,4,2,1,4,1,"false",690,
"undefined","undefined","undefined","undefined",4,6,4,1,1,10,1,"false",734,
"undefined","undefined","undefined","undefined",4,9,4,4,1,1,1,"true",597,
"undefined","undefined","undefined","undefined",5,1,4,4,1,7,1,"false",556,
"undefined","undefined","undefined","undefined",4,3,4,2,1,6,1,"false",987,
"undefined","undefined","undefined","undefined",2,7,4,2,1,6,1,"false",796,
"undefined","undefined","undefined","undefined",6,9,4,4,1,2,1,"false",594,
"undefined","undefined","undefined","undefined",5,8,4,3,1,10,1,"false",659,
"undefined","undefined","undefined","undefined",6,6,4,1,1,3,1,"false",801,
"undefined","undefined","undefined","undefined",4,8,4,3,1,9,1,"false",756,
"undefined","undefined","undefined","undefined",2,3,4,2,1,2,1,"false",822,
"undefined","undefined","undefined","undefined",4,1,4,4,1,3,1,"false",621,
"undefined","undefined","undefined","undefined",5,7,4,2,1,5,1,"false",863,
"undefined","undefined","undefined","undefined",2,9,4,4,1,2,1,"false",664,
"undefined","undefined","undefined","undefined",4,6,4,1,1,10,1,"false",760,
"undefined","undefined","undefined","undefined",6,9,4,4,1,3,1,"false",668,
"undefined","undefined","undefined","undefined",2,4,4,1,1,10,1,"false",1153,
"undefined","undefined","undefined","undefined",8,7,4,2,1,2,1,"false",781,
"undefined","undefined","undefined","undefined",2,4,4,1,1,3,1,"false",996,
"undefined","undefined","undefined","undefined",5,8,4,3,1,2,1,"false",814,
"undefined","undefined","undefined","undefined",6,3,4,2,1,10,1,"false",871,
"undefined","undefined","undefined","undefined",8,8,4,3,1,1,1,"true",666,
"undefined","undefined","undefined","undefined",6,7,4,2,1,10,1,"false",893,
"undefined","undefined","undefined","undefined",4,9,4,4,1,3,1,"false",664,
"undefined","undefined","undefined","undefined",2,5,4,0,1,4,1,"false",1066,
"undefined","undefined","undefined","undefined",8,1,4,4,1,4,1,"false",641,
"undefined","undefined","undefined","undefined",6,6,4,1,1,4,1,"false",778,
"undefined","undefined","undefined","undefined",2,9,4,4,1,3,1,"false",682,
"undefined","undefined","undefined","undefined",8,4,4,1,1,6,1,"false",751,
"undefined","undefined","undefined","undefined",4,4,4,1,1,3,1,"false",768,
"undefined","undefined","undefined","undefined",2,8,4,3,1,8,1,"false",687,
"undefined","undefined","undefined","undefined",4,5,4,0,1,4,1,"false",869,
"undefined","undefined","undefined","undefined",4,6,4,1,1,7,1,"false",1040,
"undefined","undefined","undefined","undefined",2,5,4,0,1,7,1,"false",945,
"undefined","undefined","undefined","undefined",6,1,4,4,1,2,1,"false",783,
"undefined","undefined","undefined","undefined",4,5,4,0,1,5,1,"false",971,
"undefined","undefined","undefined","undefined",6,5,4,0,1,2,1,"false",809,
"undefined","undefined","undefined","undefined",8,1,4,4,1,5,1,"false",670,
"undefined","undefined","undefined","undefined",5,9,4,4,1,8,1,"false",595,
"undefined","undefined","undefined","undefined",5,4,4,1,1,10,1,"false",812,
"undefined","undefined","undefined","undefined",4,5,4,0,1,7,1,"false",773,
"undefined","undefined","undefined","undefined",8,5,4,0,1,5,1,"false",774,
"undefined","undefined","undefined","undefined",6,2,4,3,1,5,1,"false",866,
"undefined","undefined","undefined","undefined",8,3,4,2,1,8,1,"false",834,
"undefined","undefined","undefined","undefined",6,9,4,4,1,9,1,"false",585,
"undefined","undefined","undefined","undefined",4,7,4,2,1,8,1,"false",906,
"undefined","undefined","undefined","undefined",8,6,4,1,1,10,1,"false",774,
"undefined","undefined","undefined","undefined",8,9,4,4,1,2,1,"false",535,
"undefined","undefined","undefined","undefined",6,1,4,4,1,10,1,"false",648,
"undefined","undefined","undefined","undefined",5,5,4,0,1,5,1,"false",888,
"undefined","undefined","undefined","undefined",4,4,4,1,1,5,1,"false",907,
"undefined","undefined","undefined","undefined",6,8,4,3,1,1,1,"true",861,
"undefined","undefined","undefined","undefined",2,2,4,3,1,3,1,"false",841,
"undefined","undefined","undefined","undefined",4,7,4,2,1,8,1,"false",763,
"undefined","undefined","undefined","undefined",5,2,4,3,1,10,1,"false",697,
"undefined","undefined","undefined","undefined",6,5,4,0,1,1,1,"true",826,
"undefined","undefined","undefined","undefined",6,9,4,4,1,3,1,"false",612,
"undefined","undefined","undefined","undefined",4,1,4,4,1,10,1,"false",673,
"undefined","undefined","undefined","undefined",8,2,4,3,1,3,1,"false",696,
"undefined","undefined","undefined","undefined",5,1,4,4,1,5,1,"false",753,
"undefined","undefined","undefined","undefined",6,6,4,1,1,2,1,"false",713,
"undefined","undefined","undefined","undefined",2,3,4,2,1,9,1,"false",864,
"undefined","undefined","undefined","undefined",4,7,4,2,1,4,1,"false",727,
"undefined","undefined","undefined","undefined",5,6,4,1,1,7,1,"false",882,
"undefined","undefined","undefined","undefined",6,4,4,1,1,4,1,"false",915,
"undefined","undefined","undefined","undefined",6,9,4,4,1,3,1,"false",617,
"undefined","undefined","undefined","undefined",6,7,4,2,1,4,1,"false",670,
"undefined","undefined","undefined","undefined",2,1,4,4,1,7,1,"false",615,
"undefined","undefined","undefined","undefined",2,3,4,2,1,9,1,"false",788,
"undefined","undefined","undefined","undefined",8,1,4,4,1,5,1,"false",638,
"undefined","undefined","undefined","undefined",5,4,4,1,1,4,1,"false",639,
"undefined","undefined","undefined","undefined",8,8,4,3,1,9,1,"false",707,
"undefined","undefined","undefined","undefined",5,9,4,4,1,1,1,"true",576,
"undefined","undefined","undefined","undefined",5,2,4,3,1,6,1,"false",688,
"undefined","undefined","undefined","undefined",4,6,4,1,1,4,1,"false",752,
"undefined","undefined","undefined","undefined",5,2,4,3,1,9,1,"false",687,
"undefined","undefined","undefined","undefined",8,5,4,0,1,7,1,"false",882,
"undefined","undefined","undefined","undefined",5,8,4,3,1,7,1,"false",669,
"undefined","undefined","undefined","undefined",8,3,4,2,1,8,1,"false",901,
"undefined","undefined","undefined","undefined",2,1,4,4,1,9,1,"false",667,
"undefined","undefined","undefined","undefined",6,4,4,1,1,4,1,"false",801,
"undefined","undefined","undefined","undefined",4,5,4,0,1,1,1,"true",1119,
"undefined","undefined","undefined","undefined",5,1,4,4,1,2,1,"false",661,
"undefined","undefined","undefined","undefined",2,3,4,2,1,8,1,"false",872,
"undefined","undefined","undefined","undefined",5,5,4,0,1,7,1,"false",1164,
"undefined","undefined","undefined","undefined",2,1,4,4,1,3,1,"false",699,
"undefined","undefined","undefined","undefined",2,6,4,1,1,3,1,"false",904,
"undefined","undefined","undefined","undefined",5,7,4,2,1,7,1,"false",727,
"undefined","undefined","undefined","undefined",6,3,4,2,1,1,1,"true",836,
"undefined","undefined","undefined","undefined",6,4,4,1,1,6,1,"false",826,
"undefined","undefined","undefined","undefined",8,8,4,3,1,8,1,"false",607,
"undefined","undefined","undefined","undefined",5,9,4,4,1,8,1,"false",551,
"undefined","undefined","undefined","undefined",2,4,4,1,1,8,1,"false",893,
"undefined","undefined","undefined","undefined",6,4,4,1,1,7,1,"false",947,
"undefined","undefined","undefined","undefined",6,7,4,2,1,10,1,"false",733,
"undefined","undefined","undefined","undefined",5,8,4,3,1,9,1,"false",747,
"undefined","undefined","undefined","undefined",4,3,4,2,1,4,1,"false",728,
"undefined","undefined","undefined","undefined",4,9,4,4,1,10,1,"false",538,
"undefined","undefined","undefined","undefined",4,2,4,3,1,8,1,"false",570,
"undefined","undefined","undefined","undefined",4,2,4,3,1,8,1,"false",686,
"undefined","undefined","undefined","undefined",8,3,4,2,1,8,1,"false",745,
"undefined","undefined","undefined","undefined",8,4,4,1,1,5,1,"false",796,
"undefined","undefined","undefined","undefined",8,6,4,1,1,10,1,"false",685,
"undefined","undefined","undefined","undefined",2,2,4,3,1,3,1,"false",677,
"undefined","undefined","undefined","undefined",2,9,4,4,1,7,1,"false",522,
"undefined","undefined","undefined","undefined",4,9,4,4,1,4,1,"false",539,
"undefined","undefined","undefined","undefined",8,2,4,3,1,9,1,"false",686,
"undefined","undefined","undefined","undefined",5,4,4,1,1,5,1,"false",809,
"undefined","undefined","undefined","undefined",5,6,4,1,1,5,1,"false",789,
"undefined","undefined","undefined","undefined",2,2,4,3,1,6,1,"false",775,
"undefined","undefined","undefined","undefined",2,3,4,2,1,4,1,"false",864,
"undefined","undefined","undefined","undefined",6,1,4,4,1,3,1,"false",642,
"undefined","undefined","undefined","undefined",8,4,4,1,1,10,1,"false",785,
"undefined","undefined","undefined","undefined",4,2,4,3,1,5,1,"false",693,
"undefined","undefined","undefined","undefined",5,7,4,2,1,9,1,"false",759,
"undefined","undefined","undefined","undefined",5,7,4,2,1,2,1,"false",801,
"undefined","undefined","undefined","undefined",4,8,4,3,1,3,1,"false",770,
"undefined","undefined","undefined","undefined",8,6,4,1,1,8,1,"false",755,
"undefined","undefined","undefined","undefined",5,3,4,2,1,5,1,"false",907,
"undefined","undefined","undefined","undefined",8,5,4,0,1,1,1,"true",915,
"undefined","undefined","undefined","undefined",5,1,4,4,1,7,1,"false",685,
"undefined","undefined","undefined","undefined",8,8,4,3,1,6,1,"false",767,
"undefined","undefined","undefined","undefined",8,5,4,0,1,6,1,"false",966,
"undefined","undefined","undefined","undefined",4,1,4,4,1,2,1,"false",636,
"undefined","undefined","undefined","undefined",8,6,4,1,1,10,1,"false",939,
"undefined","undefined","undefined","undefined",6,8,4,3,1,1,1,"true",689,
"undefined","undefined","undefined","undefined",5,1,4,4,1,2,1,"false",713,
"undefined","undefined","undefined","undefined",6,7,4,2,1,2,1,"false",826,
"undefined","undefined","undefined","undefined",2,5,4,0,1,5,1,"false",1006,
"undefined","undefined","undefined","undefined",4,3,4,2,1,1,1,"true",967,
"undefined","undefined","undefined","undefined",6,5,4,0,1,2,1,"false",958,
"undefined","undefined","undefined","undefined",2,7,4,2,1,7,1,"false",796,
"undefined","undefined","undefined","undefined",8,1,4,4,1,1,1,"true",592,
"undefined","undefined","undefined","undefined",4,2,4,3,1,3,1,"false",730,
"undefined","undefined","undefined","undefined",8,7,4,2,1,6,1,"false",650,
"undefined","undefined","undefined","undefined",6,4,4,1,1,5,1,"false",1030,
"undefined","undefined","undefined","undefined",5,6,4,1,1,1,1,"true",901,
"undefined","undefined","undefined","undefined",2,1,4,4,1,9,1,"false",652,
"undefined","undefined","undefined","undefined",8,8,4,3,1,9,1,"false",863,
"undefined","undefined","undefined","undefined",8,2,4,3,1,1,1,"true",664,
"undefined","undefined","undefined","undefined",5,4,4,1,1,10,1,"false",823,
"undefined","undefined","undefined","undefined",2,5,4,0,1,3,1,"false",1064,
"undefined","undefined","undefined","undefined",4,4,4,1,1,7,1,"false",941,
"undefined","undefined","undefined","undefined",2,8,4,3,1,2,1,"false",796,
"undefined","undefined","undefined","undefined",4,7,4,2,1,5,1,"false",768,
"undefined","undefined","undefined","undefined",8,2,4,3,1,7,1,"false",687,
"undefined","undefined","undefined","undefined",5,6,4,1,1,4,1,"false",987,
"undefined","undefined","undefined","undefined",5,3,4,2,1,3,1,"false",766,
"undefined","undefined","undefined","undefined",2,4,4,1,1,8,1,"false",812,
"undefined","undefined","undefined","undefined",2,6,4,1,1,10,1,"false",949,
"undefined","undefined","undefined","undefined",8,3,4,2,1,3,1,"false",934,
"undefined","undefined","undefined","undefined",4,5,4,0,1,7,1,"false",719,
"undefined","undefined","undefined","undefined",5,5,4,0,1,7,1,"false",828,
"undefined","undefined","undefined","undefined",6,2,4,3,1,7,1,"false",727,
"undefined","undefined","undefined","undefined",2,5,4,0,1,5,1,"false",940,
"undefined","undefined","undefined","undefined",6,1,4,4,1,6,1,"false",779,
"undefined","undefined","undefined","undefined",6,5,4,0,1,3,1,"false",865,
"undefined","undefined","undefined","undefined",8,3,4,2,1,4,1,"false",743,
"undefined","undefined","undefined","undefined",2,6,4,1,1,7,1,"false",989,
