"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Distance_from_Center","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",1,3,1,1,5,5,"True",1324,1,,833.0,1324.0,491.0,-640.0,2797.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",6,2,1,1,5,5,"True",1633,1,,1332.0,1685.0,353.0,273.0,2744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",6,2,1,1,4,4,"True",1685,1,,1332.0,1685.0,353.0,273.0,2744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",2,2,1,1,6,6,"True",1568,1,,1364.0,1882.0,518.0,-190.0,3436.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",4,0,1,1,2,2,"True",3710,1,,1593.0,3690.0,2097.0,-4698.0,9981.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",1,3,1,1,5,5,"True",1623,1,,1355.0,1450.0,95.0,1070.0,1735.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",7,3,1,1,6,6,"True",1339,1,,1339.0,1386.0,47.0,1198.0,1527.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",1,3,1,1,5,5,"True",1765,1,,1392.0,1442.0,50.0,1242.0,1592.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",3,1,1,1,5,5,"True",4121,1,,1652.0,2504.0,852.0,-904.0,5060.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",1,3,1,1,3,3,"True",1546,1,,1244.0,1576.0,332.0,248.0,2572.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",5,1,1,1,2,2,"True",2186,1,,1579.0,2184.0,605.0,-236.0,3999.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",2,2,1,1,7,7,"True",1882,1,,1364.0,1882.0,518.0,-190.0,3436.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",3,1,1,1,2,2,"True",2372,1,,1326.0,2372.0,1046.0,-1812.0,5510.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",4,0,1,1,2,2,"True",2605,1,,2605.0,3440.0,835.0,100.0,5945.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",1,3,1,1,1,1,"True",1198,1,,1062.0,1304.0,242.0,336.0,2030.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",6,2,0,1,4,5,"False",2718,1,,1311.0,1522.0,211.0,678.0,2155.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",7,3,1,1,3,3,"True",1701,1,,1034.0,1665.0,631.0,-859.0,3558.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",5,1,1,1,1,1,"True",1579,1,,1579.0,2184.0,605.0,-236.0,3999.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",6,2,1,1,3,3,"True",1788,1,,1438.0,1730.0,292.0,562.0,2606.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",3,1,1,1,1,1,"True",1453,1,,1453.0,2051.0,598.0,-341.0,3845.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",6,2,1,1,1,1,"True",2201,1,,1560.0,1992.0,432.0,264.0,3288.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",7,3,1,1,1,1,"True",1077,1,,1341.0,1750.0,409.0,114.0,2977.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",6,2,1,1,7,7,"True",1560,1,,1560.0,1992.0,432.0,264.0,3288.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",6,2,1,1,1,1,"True",1311,1,,1311.0,1522.0,211.0,678.0,2155.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",1,3,1,1,2,2,"True",1450,1,,1355.0,1450.0,95.0,1070.0,1735.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",4,0,1,1,7,7,"True",3125,1,,2084.0,3125.0,1041.0,-1039.0,6248.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",1,3,1,1,6,6,"True",1428,1,,1355.0,1450.0,95.0,1070.0,1735.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",3,1,1,1,3,3,"True",1887,1,,1326.0,2372.0,1046.0,-1812.0,5510.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",3,1,1,1,1,1,"True",1326,1,,1326.0,2372.0,1046.0,-1812.0,5510.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",7,3,1,1,4,4,"True",1894,1,,1341.0,1750.0,409.0,114.0,2977.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",2,2,1,1,7,7,"True",2849,1,,1499.0,1868.0,369.0,392.0,2975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",3,1,1,1,3,3,"True",1820,1,,1820.0,2055.0,235.0,1115.0,2760.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",4,0,1,1,3,3,"True",2467,1,,2467.0,3121.0,654.0,505.0,5083.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",6,2,1,1,3,3,"True",1273,1,,1273.0,1811.0,538.0,-341.0,3425.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",6,2,1,1,5,5,"True",1522,1,,1311.0,1522.0,211.0,678.0,2155.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",6,2,1,1,5,5,"True",1438,1,,1438.0,1730.0,292.0,562.0,2606.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",3,1,1,1,1,1,"True",1429,1,,1652.0,2504.0,852.0,-904.0,5060.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",5,1,1,1,4,4,"True",2978,1,,2033.0,2676.0,643.0,104.0,4605.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",1,3,1,1,5,5,"True",1445,1,,1191.0,1445.0,254.0,429.0,2207.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",1,3,1,1,6,6,"True",1500,1,,1191.0,1445.0,254.0,429.0,2207.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",2,2,1,1,3,3,"True",1597,1,,1548.0,1597.0,49.0,1401.0,1744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",4,0,1,1,5,5,"True",3105,1,,2467.0,3121.0,654.0,505.0,5083.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",2,2,1,1,6,6,"True",3093,1,,1364.0,1882.0,518.0,-190.0,3436.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",2,2,1,1,3,3,"True",1717,1,,1193.0,1565.0,372.0,77.0,2681.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",5,1,1,1,4,4,"True",3048,1,,1680.0,2256.0,576.0,-48.0,3984.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",6,2,1,1,4,4,"True",1431,1,,1560.0,1992.0,432.0,264.0,3288.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",5,1,1,1,1,1,"True",1651,1,,1651.0,1935.0,284.0,799.0,2787.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",2,2,1,1,1,1,"True",983,1,,1499.0,1868.0,369.0,392.0,2975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",1,3,1,1,5,5,"True",1355,1,,1355.0,1450.0,95.0,1070.0,1735.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",5,1,1,1,6,6,"True",2032,1,,1651.0,1935.0,284.0,799.0,2787.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",4,0,1,1,1,1,"True",3121,1,,2467.0,3121.0,654.0,505.0,5083.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",7,3,1,1,1,1,"True",966,1,,1250.0,1408.0,158.0,776.0,1882.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",6,2,1,1,2,2,"True",1256,1,,1492.0,1720.0,228.0,808.0,2404.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",6,2,0,1,2,1,"False",1147,1,,1332.0,1685.0,353.0,273.0,2744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",5,1,1,1,2,2,"True",2230,1,,1092.0,2113.0,1021.0,-1971.0,5176.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",5,1,1,1,3,3,"True",1600,1,,1710.0,2154.0,444.0,378.0,3486.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",4,0,1,1,2,2,"True",3690,1,,1593.0,3690.0,2097.0,-4698.0,9981.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",1,3,1,1,2,2,"True",1576,1,,1244.0,1576.0,332.0,248.0,2572.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",7,3,1,1,5,5,"True",1471,1,,1339.0,1386.0,47.0,1198.0,1527.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",7,3,1,1,4,4,"True",1750,1,,1341.0,1750.0,409.0,114.0,2977.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",2,2,1,1,4,4,"True",1152,1,,1548.0,1597.0,49.0,1401.0,1744.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",1,3,1,1,2,2,"True",1191,1,,1191.0,1445.0,254.0,429.0,2207.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",3,1,1,1,2,2,"True",1838,1,,1820.0,2055.0,235.0,1115.0,2760.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",4,0,1,1,5,5,"True",2289,1,,1489.0,2325.0,836.0,-1019.0,4833.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",6,2,1,1,2,2,"True",1462,1,,1438.0,1730.0,292.0,562.0,2606.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",3,1,1,1,1,1,"True",1277,1,,1453.0,2051.0,598.0,-341.0,3845.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",2,2,1,1,3,3,"True",1193,1,,1193.0,1565.0,372.0,77.0,2681.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",5,1,1,1,7,7,"True",2676,1,,2033.0,2676.0,643.0,104.0,4605.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",2,2,1,1,3,3,"True",1037,1,,1193.0,1565.0,372.0,77.0,2681.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",6,2,1,1,7,7,"True",1720,1,,1492.0,1720.0,228.0,808.0,2404.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",3,1,0,1,4,3,"False",2118,1,,1820.0,2055.0,235.0,1115.0,2760.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",3,1,1,1,4,4,"True",2351,1,,1132.0,1626.0,494.0,-350.0,3108.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",7,3,1,1,5,5,"True",1250,1,,1250.0,1408.0,158.0,776.0,1882.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",2,2,1,1,6,6,"True",1426,1,,1230.0,1426.0,196.0,642.0,2014.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",5,1,1,1,2,2,"True",1994,1,,1092.0,2113.0,1021.0,-1971.0,5176.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",5,1,1,1,7,7,"True",2256,1,,1680.0,2256.0,576.0,-48.0,3984.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",6,2,1,1,2,2,"True",1992,1,,1560.0,1992.0,432.0,264.0,3288.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",3,1,1,1,5,5,"True",2504,1,,1652.0,2504.0,852.0,-904.0,5060.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",1,3,0,1,4,3,"False",2040,1,,1244.0,1576.0,332.0,248.0,2572.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",7,3,1,1,1,1,"True",1034,1,,1034.0,1665.0,631.0,-859.0,3558.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",5,1,1,1,5,5,"True",2033,1,,2033.0,2676.0,643.0,104.0,4605.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",5,1,1,1,3,3,"True",1690,1,,1680.0,2256.0,576.0,-48.0,3984.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",2,2,1,1,6,6,"True",1499,1,,1499.0,1868.0,369.0,392.0,2975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",7,3,1,1,2,2,"True",1665,1,,1034.0,1665.0,631.0,-859.0,3558.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",1,3,1,1,1,1,"True",932,1,,1062.0,1304.0,242.0,336.0,2030.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",7,3,1,1,7,7,"True",1437,1,,1341.0,1750.0,409.0,114.0,2977.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",3,1,1,1,7,7,"True",1626,1,,1132.0,1626.0,494.0,-350.0,3108.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",7,3,1,1,7,7,"True",1448,1,,1357.0,1448.0,91.0,1084.0,1721.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",2,2,1,1,2,2,"True",1312,1,,1294.0,1387.0,93.0,1015.0,1666.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",3,1,1,1,4,4,"True",2631,1,,1326.0,2372.0,1046.0,-1812.0,5510.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",5,1,0,1,2,1,"False",1479,1,,1579.0,2184.0,605.0,-236.0,3999.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",1,3,1,1,7,7,"True",2423,1,,833.0,1324.0,491.0,-640.0,2797.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",5,1,1,1,5,5,"True",1935,1,,1651.0,1935.0,284.0,799.0,2787.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",7,3,1,1,5,5,"True",1774,1,,1107.0,1774.0,667.0,-894.0,3775.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",7,3,1,1,7,7,"True",1408,1,,1250.0,1408.0,158.0,776.0,1882.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",7,3,1,1,7,7,"True",1357,1,,1357.0,1448.0,91.0,1084.0,1721.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",3,1,1,1,1,1,"True",1473,1,,1113.0,1556.0,443.0,-216.0,2885.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",3,1,1,1,7,7,"True",2034,1,,1652.0,2504.0,852.0,-904.0,5060.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",3,1,1,1,3,3,"True",1652,1,,1652.0,2504.0,852.0,-904.0,5060.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",2,2,1,1,5,5,"True",1481,1,,1230.0,1426.0,196.0,642.0,2014.0,"OK"
