"Age","Status","Studies","YearsOfExperience","Overlap","Indentation_Length","Nesting_Level","Distance_from_Center","Overlap_Above_Percent","Overlap_Below_Percent","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",4,0,0,100,1,1,6,6,"True",1636,1,,988.75,1354.75,366.0,-109.25,2452.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",4,0,0,100,1,1,3,3,"True",1218,1,,1223.0,1613.75,390.75,50.75,2786.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",5,1,0,100,1,1,2,2,"True",1094,1,,1095.75,1666.25,570.5,-615.75,3377.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",4,0,0,100,1,1,6,6,"True",1640,1,,1223.0,1613.75,390.75,50.75,2786.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",3,1,65,95,1,1,4,4,"True",1127,1,,1007.75,1124.75,117.0,656.75,1475.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",2,2,65,95,1,1,4,4,"True",1133,1,,1142.75,1559.5,416.75,-107.5,2809.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",6,2,0,100,1,1,1,1,"True",948,1,,963.5,1095.0,131.5,569.0,1489.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",4,0,65,95,1,1,5,5,"True",1590,1,,1185.75,1540.0,354.25,123.0,2602.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",4,0,65,95,1,1,1,1,"True",969,1,,1185.75,1540.0,354.25,123.0,2602.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",5,1,0,100,1,1,1,1,"True",955,1,,946.75,1372.0,425.25,-329.0,2647.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",2,2,0,100,1,1,7,7,"True",1417,1,,1246.25,1429.75,183.5,695.75,1980.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",5,1,65,95,0,1,6,5,"False",1385,1,,1044.5,1176.75,132.25,647.75,1573.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",2,2,0,100,1,1,6,6,"True",1436,1,,1251.5,1564.5,313.0,312.5,2503.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",6,2,0,100,1,1,7,7,"True",1254,1,,878.75,1230.75,352.0,-177.25,2286.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",6,2,0,100,0,1,3,2,"False",1056,1,,963.5,1095.0,131.5,569.0,1489.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",5,1,65,95,1,1,2,2,"True",1194,1,,881.25,1417.0,535.75,-726.0,3024.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,1,1,3,3,"True",1121,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",3,1,0,100,1,1,3,3,"True",1027,1,,1101.5,1420.5,319.0,144.5,2377.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",5,1,65,95,1,1,4,4,"True",1043,1,,1044.5,1176.75,132.25,647.75,1573.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",3,1,65,95,1,1,4,4,"True",1235,1,,872.25,1187.5,315.25,-73.5,2133.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",3,1,65,95,1,1,5,5,"True",1198,1,,872.25,1187.5,315.25,-73.5,2133.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",4,0,0,100,1,1,4,4,"True",917,1,,992.5,1128.5,136.0,584.5,1536.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",3,1,65,95,1,1,3,3,"True",1041,1,,872.25,1187.5,315.25,-73.5,2133.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",5,1,0,100,1,1,2,2,"True",1085,1,,982.25,1229.5,247.25,240.5,1971.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",6,2,0,100,1,1,6,6,"True",1326,1,,878.75,1230.75,352.0,-177.25,2286.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",3,1,0,100,0,1,3,4,"False",1021,1,,1004.5,1373.5,369.0,-102.5,2480.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",4,0,0,100,1,1,2,2,"True",1097,1,,992.5,1128.5,136.0,584.5,1536.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",2,2,0,100,1,1,2,2,"True",1194,1,,1000.75,1181.0,180.25,460.0,1721.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",5,1,0,100,1,1,7,7,"True",1384,1,,946.75,1372.0,425.25,-329.0,2647.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",4,0,0,100,1,1,4,4,"True",1347,1,,983.25,1321.25,338.0,-30.75,2335.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",2,2,65,95,1,1,4,4,"True",1218,1,,1165.5,1363.75,198.25,570.75,1958.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",5,1,65,95,1,1,5,5,"True",1049,1,,1044.5,1176.75,132.25,647.75,1573.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",3,1,65,95,1,1,2,2,"True",1108,1,,1087.0,1230.0,143.0,658.0,1659.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",4,0,65,95,1,1,5,5,"True",1192,1,,846.25,1041.25,195.0,261.25,1626.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",2,2,0,100,1,1,5,5,"True",1207,1,,1246.25,1429.75,183.5,695.75,1980.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",3,1,0,100,1,1,2,2,"True",993,1,,1101.5,1420.5,319.0,144.5,2377.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",3,1,0,100,1,1,6,6,"True",1272,1,,932.5,1192.5,260.0,152.5,1972.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",3,1,0,100,1,1,6,6,"True",1328,1,,1160.0,1759.75,599.75,-639.25,3559.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",5,1,65,95,1,1,7,7,"True",1789,1,,881.25,1417.0,535.75,-726.0,3024.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",2,2,0,100,1,1,1,1,"True",1159,1,,1286.0,1444.75,158.75,809.75,1921.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",5,1,65,95,1,1,2,2,"True",1349,1,,1353.25,1526.5,173.25,833.5,2046.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,1,1,4,4,"True",1066,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",4,0,0,100,1,1,4,4,"True",1116,1,,1223.0,1613.75,390.75,50.75,2786.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",5,1,0,100,1,1,6,6,"True",1286,1,,1064.75,1277.5,212.75,426.5,1915.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",3,1,0,100,1,1,5,5,"True",1166,1,,1101.5,1420.5,319.0,144.5,2377.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",6,2,0,100,0,1,3,2,"False",1055,1,,964.5,1127.75,163.25,474.75,1617.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",6,2,65,95,1,1,4,4,"True",928,1,,890.0,1045.75,155.75,422.75,1513.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",3,1,0,100,1,1,6,6,"True",1563,1,,1101.5,1420.5,319.0,144.5,2377.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",2,2,0,100,1,1,7,7,"True",1607,1,,1251.5,1564.5,313.0,312.5,2503.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",6,2,65,95,1,1,1,1,"True",1172,1,,890.0,1045.75,155.75,422.75,1513.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",2,2,0,100,1,1,7,7,"True",1385,1,,1286.0,1444.75,158.75,809.75,1921.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,1,1,1,1,"True",928,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",2,2,0,100,1,1,3,3,"True",1452,1,,1286.0,1444.75,158.75,809.75,1921.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",4,0,65,95,1,1,4,4,"True",802,1,,856.5,1324.75,468.25,-548.25,2729.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",4,0,65,95,0,1,6,7,"False",1547,1,,1333.0,1677.5,344.5,299.5,2711.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",3,1,0,100,1,1,7,7,"True",1558,1,,1004.5,1373.5,369.0,-102.5,2480.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",4,0,65,95,1,1,4,4,"True",1393,1,,846.25,1041.25,195.0,261.25,1626.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",6,2,65,95,1,1,1,1,"True",887,1,,940.25,1125.5,185.25,384.5,1681.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",6,2,0,100,1,1,1,1,"True",786,1,,878.75,1230.75,352.0,-177.25,2286.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",3,1,65,95,1,1,4,4,"True",1236,1,,1087.0,1230.0,143.0,658.0,1659.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",5,1,65,95,1,1,7,7,"True",1875,1,,1353.25,1526.5,173.25,833.5,2046.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",3,1,65,95,1,1,6,6,"True",1567,1,,1437.75,1678.0,240.25,717.0,2398.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",3,1,65,95,1,1,4,4,"True",1212,1,,1087.0,1230.0,143.0,658.0,1659.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",4,0,65,95,0,1,3,1,"False",899,1,,846.25,1041.25,195.0,261.25,1626.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",6,2,65,95,1,1,1,1,"True",939,1,,940.25,1125.5,185.25,384.5,1681.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,1,1,2,2,"True",977,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,0,1,7,8,"False",1046,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",3,1,65,95,1,1,3,3,"True",1679,1,,1007.75,1124.75,117.0,656.75,1475.75,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",2,2,0,100,1,1,7,7,"True",1348,1,,1000.75,1181.0,180.25,460.0,1721.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",2,2,65,95,1,1,7,7,"True",1426,1,,1222.75,1439.5,216.75,572.5,2089.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",2,2,65,95,1,1,5,5,"True",1677,1,,1222.75,1439.5,216.75,572.5,2089.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",2,2,0,100,1,1,5,5,"True",1437,1,,1251.5,1564.5,313.0,312.5,2503.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",2,2,0,100,1,1,4,4,"True",1169,1,,1251.5,1564.5,313.0,312.5,2503.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",2,2,65,95,1,1,5,5,"True",1077,1,,1165.5,1363.75,198.25,570.75,1958.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",3,1,65,95,1,1,7,7,"True",2843,1,,1437.75,1678.0,240.25,717.0,2398.75,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",2,2,65,95,1,1,4,4,"True",1545,1,,1165.5,1363.75,198.25,570.75,1958.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",4,0,0,100,1,1,6,6,"True",1401,1,,983.25,1321.25,338.0,-30.75,2335.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",2,2,65,95,1,1,7,7,"True",1093,1,,852.0,1088.5,236.5,142.5,1798.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",4,0,0,100,1,1,3,3,"True",1267,1,,1223.0,1613.75,390.75,50.75,2786.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",6,2,65,95,1,1,3,3,"True",833,1,,935.5,1232.5,297.0,44.5,2123.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",2,2,65,95,1,1,3,3,"True",1130,1,,1222.75,1439.5,216.75,572.5,2089.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",2,2,65,95,1,1,3,3,"True",753,1,,852.0,1088.5,236.5,142.5,1798.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",6,2,65,95,1,1,4,4,"True",812,1,,890.0,1045.75,155.75,422.75,1513.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",6,2,65,95,1,1,2,2,"True",892,1,,899.75,1190.75,291.0,26.75,2063.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",6,2,65,95,1,1,4,4,"True",887,1,,899.75,1190.75,291.0,26.75,2063.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",2,2,65,95,1,1,5,5,"True",903,1,,852.0,1088.5,236.5,142.5,1798.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",5,1,0,100,1,1,6,6,"True",1254,1,,1095.75,1666.25,570.5,-615.75,3377.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",4,0,0,100,1,1,7,7,"True",1908,1,,983.25,1321.25,338.0,-30.75,2335.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",5,1,0,100,1,1,5,5,"True",1193,1,,1064.75,1277.5,212.75,426.5,1915.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",2,2,0,100,1,1,5,5,"True",1405,1,,1246.25,1429.75,183.5,695.75,1980.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",5,1,65,95,1,1,7,7,"True",1241,1,,945.5,1138.25,192.75,367.25,1716.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",2,2,0,100,1,1,4,4,"True",1117,1,,1000.75,1181.0,180.25,460.0,1721.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",2,2,65,95,1,1,4,4,"True",1086,1,,1142.75,1559.5,416.75,-107.5,2809.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",3,1,0,100,1,1,5,5,"True",906,1,,932.5,1192.5,260.0,152.5,1972.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",3,1,0,100,1,1,4,4,"True",1052,1,,1160.0,1759.75,599.75,-639.25,3559.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",3,1,65,95,1,1,3,3,"True",816,1,,872.25,1187.5,315.25,-73.5,2133.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",2,2,0,100,1,1,1,1,"True",977,1,,1000.75,1181.0,180.25,460.0,1721.75,"OK"
